Time, Date, TweetText
10:38 AM,21 Jan 2020,T 3417- http://bit.ly/Jhund_Teaser  सर यह लिंक युज करीयेगा यह कुछ बिटली लिंक है   पहले समझ में नहीं आया की ये 'बिटली' क्या है  ; फिर  Google किया और पता चला ये एक shorter URL का नाम है       धन्य हैं 'बिटली ' मैया  !!!
10:49 PM,20 Jan 2020,T 3417 - JHUND .. !! झुंड .. आ गया  आ गया .. !!  https://youtu.be/45lj-bGVOHE  @SrBachchan @Nagrajmanjule @itsBhushanKumar #KrishanKumar @vinodbhanu #RaajHiremath #SavitaRajHiremath #GargeeKulkarni #MeenuAroraa @AjayAtulOnline @tandavfilms @aatpaat @TSeries
1:30 PM,20 Jan 2020,T 3416 - बाबूजी की माँ ने कहा था : "दिन भर में एक बार   सरस्वती स्वयं मनुष्य की जिह्वा पर बैठकर बोलती हैं  "  बाबूजी ने लिखा था अपनी पहली पुस्तक छपने पर : उसकी इतनी आलोचना हुई उसे आज मैं अतिशयोत्ति कहूँगा ; कवि को निश्चय प्रोत्साहन मिला था  उससे  । विश्वास को भी प्रोत्साहन चाहिएpic.twitter.com/obbIatKHJG
9:25 PM,19 Jan 2020,no confusion on release date .. wait till tomorrowhttps://twitter.com/aspalod/status/1219121657572315138 …
8:59 PM,19 Jan 2020,T 3415 - JHUND ... झुंड  !! ... JHUND ... झुंड  !! #Jhund @Nagrajmanjule @itsBhushanKumar #KrishanKumar #RaajHiremath #SavitaRajHiremath #GargeeKulkarni #MeenuAroraa @AjayAtulOnline @tandavfilms @aatpaat @TSeriespic.twitter.com/4iTXi6mkc1
8:53 PM,19 Jan 2020,T 3415 - JHUND ... झुंड  !!  #Jhund @Nagrajmanjule @itsBhushanKumar #KrishanKumar #RaajHiremath #SavitaRajHiremath #GargeeKulkarni #MeenuAroraa @AjayAtulOnline @tandavfilms @aatpaat @TSeriespic.twitter.com/4zB9zS5lbj
8:43 PM,19 Jan 2020,T 3415 - https://youtu.be/SInD2AxfKi0    "A Game Called Relationship" .. Romantic Comedy based on live in relationship. Produced-Written-Directed by Vivek Sharma  and acting debut too .. My director of the ever loved 'BHOOTNATH" all the best Vivek ..
11:38 AM,18 Jan 2020,T 3414 - ... but work continues - he would have wanted it that way .. ..और काम चल रहा है  ; बाबूजी भी यही चाहतेpic.twitter.com/LrKs9k73sW
10:40 AM,18 Jan 2020,T 3414 -  ... a few moments ago he had breathed his last .. my Father .. had held his hand .. soft .. the hand that wrote genius .. अभी कुछ क्षण पहले ही   उनका स्वर्ग वास हुआ  था  ; बाबूजी  ; हाथ पकड़ा हुआ था उनका मैंने  ; निर्मल   कोमल  मुलायम   ;  एक प्रतिभा वान  लेखनीpic.twitter.com/rbpB3qwzR7
9:40 AM,17 Jan 2020,T 3413 -  .... आज समाप्त हुआ   परिवार के एक आदर्श पूर्ण  समधी का 'चौथा'  !  और बस कुछ ही क्षणों में   पूज्य बाबूजी की पुण्यतिथि  !  " जीवन है चलाएमान   बहती नदी के समान " ~ हरिवंश राई बच्चनpic.twitter.com/vFYVAvOXqf
9:13 AM,17 Jan 2020,... and when needed to spend time at the crease to delay the result he had the capacity to block every ball  frustrate the bowling opposition and just remain there without scoring anything .. prayershttps://twitter.com/sachin_rt/status/1218205529907974145 …
11:36 AM,16 Jan 2020,.. the true spirit of the Indian Army .. आप हमारे रक्षक तो हैं ही ; आप हमारा गर्व भी हैं  https://twitter.com/DrSYQuraishi/status/1217886363661434880 …
11:33 AM,16 Jan 2020,.. the pride of India .. Capt Tanya Shergill .. what a moment .. !https://twitter.com/supriyasahuias/status/1217365372497645570 …
11:04 AM,16 Jan 2020,T 3412 - ... in the end we shall all end up as a picture on the wall .. if you're lucky  ! एक तस्वीर बनकर रह जाएँगे हम सब   अंत में  - सौभाग्य वश   शायद
1:39 AM,16 Jan 2020,T 3411 - So .. after great debate discussion mathematical extreme calculations   and an insistence on what should be the right and correct NUMBER on the T   the Tweet .. its T 3411 ..  Thank you all for your time and your patience .. I remain
11:58 PM,15 Jan 2020,T 3611 -- CORRECTION AGAIN IN NUMBERING  .. pointed out by Ef .. he says its running 200 numbers plus .. so will subtract 200 now and make it .. 3411 .. right ? please confirm and Tag me so I can see your response ..
11:55 PM,15 Jan 2020,.. sorry about this .. now how to correct it  so if you can tell me where the error was and what should be the correct number now .. I shall announce and change .. thank you .. so it was wrong by 200 on 3516 .. it should have been 3316 .. right ? .. so what should correct no.  behttps://twitter.com/aspalod/status/1217706314354216961 …
11:00 PM,15 Jan 2020,T - 3611 -  CORRECTION IN NUMBERING  !! after 3607  all numbering should read 3608-9-10-11 ..NOT 3708-9-10-11 apologies .. and thank you Ef for pointing this out here and on FB too .. corrected it now .. pic.twitter.com/NhImJuBjAq
10:47 AM,15 Jan 2020,T 3711 - A learning from a friend : "Better to be the first and fail  than to be late .."
10:41 AM,15 Jan 2020,T 3711 - "सुलह कर लो अपनी किस्मत से  एक वही है जो बिकती नहीं रिश्वत से" ~ from Ef ..  come to terms with your fate ; its the only one that cannot be sold through a bribe  ~ ab
10:03 AM,14 Jan 2020,T 3710 - एक आदर्श बेटी   एक आदर्श बहन   एक आदर्श पत्नी   एक आदर्श माँ   एक आदर्श समधी और एक आदर्श मित्र    हमसे आज सदा के लिए दूर चली गयीं  ।  जीवन में कुछ क्षण ऐसे होते हैं   जिन्हें शोक की शांति का आदर मिलना चाहिए  !
9:37 AM,14 Jan 2020,T 3710 - .. some moments deserve the silence of condolence .. for them that have been lost to us  ..prayers
11:33 AM,13 Jan 2020,T 3709 - left eyepic.twitter.com/w6iqhdQjT6
11:32 AM,13 Jan 2020,T 3709 - बायीं आँख फड़कने लगी ; सुना था बचपन में अशुभ होता है ; गए दिखाने डॉक्टर को   तो निकला ये  एक काला (cont) http://tl.gd/n_1sr494o
